############# Mutation Rate: 0.1 #############
22    0.350 [6.64, 206.16, 102, 79.26, 2, 1990, 14.90, 30]
23    0.205 [6.64, 206.16, 102, 79.26, 3, 2290, 17, 30]
24    0.205 [6.64, 226.93, 102, 79.26, 3, 2290, 17, 30]
25    0.205 [5.70, 226.93, 102, 79.26, 3, 2290, 17, 30]
26    0.194 [5.70, 226.93, 102, 75.64, 3, 1990, 17, 30]
27    0.194 [5.70, 182.27, 102, 75.64, 3, 1990, 17, 30]
28    0.122 [5.70, 454.64, 102, 75.64, 3, 2045, 18.50, 30]
49    0.122 [5.37, 454.64, 102, 75.40, 3, 2045, 18.50, 30]
51    0.122 [5.37, 454.64, 102, 76.48, 3, 2045, 18.50, 30]
52    0.122 [5.37, 454.64, 102, 75.99, 3, 2045, 18.50, 30]
87    0.116 [5.30, 98.52, 102, 80.50, 1, 2380, 20.70, 30]
89    0.116 [5.30, 98.52, 102, 80.50, 1, 2380, 20.70, 30]
92    0.116 [5.65, 98.52, 102, 80.50, 1, 2380, 20.70, 30]
94    0.116 [5.65, 98.52, 102, 80.60, 1, 2380, 20.70, 30]
95    0.116 [5.65, 98.52, 102, 80.60, 1, 2380, 20.70, 30]
96    0.116 [4.04, 98.52, 102, 80.60, 1, 2380, 20.70, 30]
97    0.116 [4.04, 98.52, 102, 80.60, 1, 2380, 20.70, 30]
98    0.116 [4.10, 98.52, 102, 80.60, 1, 2380, 20.70, 30]
107   0.194 [4.25, 407.55, 102, 75.09, 3, 1990, 17, 30]
108   0.194 [4.25, 407.55, 102, 75.09, 3, 1990, 17, 30]
109   0.194 [4.25, 158.85, 102, 75.09, 3, 1990, 17, 30]
110   0.194 [4.25, 100.62, 102, 75.09, 3, 1990, 17, 30]
111   0.194 [4.25, 426.26, 102, 75.09, 3, 1990, 17, 30]
112   0.194 [4.25, 430.19, 102, 75.09, 3, 1990, 17, 30]
113   0.194 [4.25, 290.15, 102, 75.09, 3, 1990, 17, 30]
114   0.194 [7.39, 290.15, 102, 75.09, 3, 1990, 17, 30]
118   0.194 [7.39, 296.51, 102, 75.09, 3, 1990, 17, 30]
119   0.194 [7.39, 206.59, 102, 75.09, 3, 1990, 17, 30]
120   0.205 [7.39, 206.59, 102, 81.48, 3, 2290, 17, 30]
122   0.205 [7.39, 206.59, 102, 81.48, 3, 2290, 17, 30]
123   0.205 [5.00, 206.59, 102, 81.48, 3, 2290, 17, 30]
124   0.194 [5.00, 206.59, 102, 75.12, 3, 1990, 17, 30]
136   0.194 [5.12, 306.71, 102, 75.12, 3, 1990, 17, 30]
144   0.205 [6.77, 107.97, 102, 78.44, 3, 2290, 17, 30]
145   0.205 [6.15, 107.97, 102, 78.44, 3, 2290, 17, 30]
146   0.205 [6.15, 364.60, 102, 78.44, 3, 2290, 17, 30]
148   0.205 [3.86, 364.60, 102, 78.44, 3, 2290, 17, 30]
152   0.205 [3.86, 140.84, 102, 78.44, 3, 2290, 17, 30]
154   0.205 [3.86, 140.84, 102, 78.44, 3, 2290, 17, 30]
155   0.228 [3.86, 140.84, 102, 78.44, 1, 2870, 18.10, 30]
156   0.228 [3.86, 140.84, 102, 78.44, 1, 2870, 18.10, 30]
160   0.122 [3.86, 140.84, 102, 78.02, 3, 2045, 18.50, 30]
161   0.122 [5.43, 140.84, 102, 78.02, 3, 2045, 18.50, 30]
162   0.122 [5.24, 140.84, 102, 78.02, 3, 2045, 18.50, 30]
163   0.122 [5.83, 140.84, 102, 78.02, 3, 2045, 18.50, 30]
164   0.122 [5.83, 140.84, 102, 77.15, 3, 2045, 18.50, 30]
165   0.122 [5.83, 440.07, 102, 77.15, 3, 2045, 18.50, 30]
166   0.122 [5.83, 394.69, 102, 77.15, 3, 2045, 18.50, 30]
167   0.122 [5.83, 394.69, 102, 77.15, 3, 2045, 18.50, 30]
168   0.122 [5.83, 368.09, 102, 77.15, 3, 2045, 18.50, 30]
170   0.122 [5.83, 446.49, 102, 77.15, 3, 2045, 18.50, 30]
213   0.116 [4.61, 76.64, 102, 78.80, 1, 2380, 20.70, 30]
214   0.116 [4.30, 76.64, 102, 78.80, 1, 2380, 20.70, 30]
263   0.195 [5.17, 80.07, 102, 77.98, 1, 2051, 17, 30]
264   0.195 [5.17, 80.07, 102, 76.25, 1, 2051, 17, 30]
265   0.195 [5.74, 80.07, 102, 76.25, 1, 2051, 17, 30]
296   0.205 [7.86, 336.17, 102, 80.51, 3, 2290, 17, 30]
297   0.205 [7.86, 336.17, 102, 78.56, 3, 2290, 17, 30]
298   0.205 [7.86, 228.76, 102, 78.56, 3, 2290, 17, 30]
299   0.205 [7.86, 240.19, 102, 78.56, 3, 2290, 17, 30]
302   0.228 [3.56, 240.19, 102, 79.18, 1, 2870, 18.10, 30]
303   0.228 [3.56, 145.26, 102, 79.18, 1, 2870, 18.10, 30]
304   0.228 [3.56, 119.56, 102, 79.18, 1, 2870, 18.10, 30]
305   0.228 [4.68, 119.56, 102, 79.18, 1, 2870, 18.10, 30]
314   0.305 [4.40, 119.56, 102, 80.29, 1, 2490, 15.70, 30]
315   0.305 [5.06, 119.56, 102, 80.29, 1, 2490, 15.70, 30]
316   0.228 [5.06, 119.56, 102, 79.69, 1, 2870, 18.10, 30]
317   0.228 [5.06, 119.56, 102, 79.95, 1, 2870, 18.10, 30]
318   0.228 [5.06, 119.56, 102, 79.95, 1, 2870, 18.10, 30]
330   0.195 [5.82, 75.37, 102, 76.28, 1, 2051, 17, 30]
331   0.195 [4.06, 75.37, 102, 76.28, 1, 2051, 17, 30]
332   0.195 [4.06, 76.07, 102, 76.28, 1, 2051, 17, 30]
333   0.195 [4.06, 76.07, 102, 76.28, 1, 2051, 17, 30]
334   0.195 [3.90, 76.07, 102, 76.28, 1, 2051, 17, 30]
335   0.195 [4.86, 76.07, 102, 76.28, 1, 2051, 17, 30]
336   0.195 [4.86, 76.07, 102, 76.91, 1, 2051, 17, 30]
337   0.195 [4.86, 76.07, 102, 76.91, 1, 2051, 17, 30]
338   0.195 [4.52, 76.07, 102, 76.91, 1, 2051, 17, 30]
340   0.194 [4.52, 76.07, 102, 75.25, 3, 1990, 17, 30]
351   0.122 [6.07, 373.11, 102, 76.10, 3, 2045, 18.50, 30]
352   0.122 [4.92, 373.11, 102, 76.10, 3, 2045, 18.50, 30]
353   0.122 [4.92, 285.35, 102, 76.10, 3, 2045, 18.50, 30]
354   0.122 [4.92, 285.35, 102, 75.99, 3, 2045, 18.50, 30]
406   0.121 [7.00, 91.75, 102, 80.73, 3, 2025, 18.20, 40]
433   0.116 [5.42, 103.86, 102, 81.82, 1, 2380, 20.70, 30]
482   0.194 [7.45, 147.67, 102, 75.66, 3, 1990, 17, 30]
483   0.194 [7.45, 147.67, 102, 75.10, 3, 1990, 17, 30]
484   0.194 [3.48, 147.67, 102, 75.10, 3, 1990, 17, 30]
486   0.194 [3.48, 205.75, 102, 75.10, 3, 1990, 17, 30]
487   0.194 [3.48, 440.33, 102, 75.10, 3, 1990, 17, 30]
490   0.122 [3.78, 440.33, 102, 77.40, 3, 2045, 18.50, 30]
491   0.122 [3.78, 99.85, 102, 77.40, 3, 2045, 18.50, 30]
493   0.122 [3.78, 99.85, 102, 77.40, 3, 2045, 18.50, 30]
494   0.122 [5.73, 99.85, 102, 77.40, 3, 2045, 18.50, 30]
495   0.122 [5.73, 99.85, 102, 77.40, 3, 2045, 18.50, 30]
499   0.122 [5.73, 261.36, 102, 77.62, 3, 2045, 18.50, 30]
500   0.122 [5.73, 138.20, 102, 77.62, 3, 2045, 18.50, 30]
562   0.122 [5.35, 351.23, 102, 76.43, 3, 2045, 18.50, 30]
563   0.122 [5.22, 351.23, 102, 76.43, 3, 2045, 18.50, 30]
564   0.122 [3.55, 351.23, 102, 76.43, 3, 2045, 18.50, 30]
593   0.122 [6.33, 256.24, 102, 76.43, 3, 2045, 18.50, 30]
594   0.122 [6.33, 248.04, 102, 76.43, 3, 2045, 18.50, 30]
595   0.122 [6.33, 248.04, 102, 76.01, 3, 2045, 18.50, 30]
596   0.122 [6.33, 235.14, 102, 76.01, 3, 2045, 18.50, 30]
597   0.122 [3.43, 235.14, 102, 76.01, 3, 2045, 18.50, 30]
605   0.122 [7.82, 111.78, 102, 76.58, 3, 2045, 18.50, 30]
606   0.122 [3.20, 111.78, 102, 76.58, 3, 2045, 18.50, 30]
681   0.122 [6.71, 192.47, 102, 77.28, 3, 2045, 18.50, 30]
684   0.122 [5.57, 192.47, 102, 77.28, 3, 2045, 18.50, 30]
729   0.122 [3.03, 371.37, 102, 75.83, 3, 2045, 18.50, 30]
732   0.122 [3.03, 343.72, 102, 75.59, 3, 2045, 18.50, 30]
740   0.121 [7.46, 79.69, 102, 80.47, 3, 2025, 18.20, 40]
